track_genre,popularidad_media,popularidad_mediana,numero_canciones
acoustic,42.483,47.0,1000
afrobeat,24.407,21.0,999
alt-rock,33.897,45.0,999
alternative,24.361,1.0,999
ambient,44.208,50.0,999
anime,48.767,50.0,999
black-metal,22.461,19.0,997
bluegrass,25.681,24.0,998
blues,31.218,34.0,998
brazil,44.668,45.0,998
breakbeat,20.132,14.0,999
british,43.802,52.0,1000
cantopop,34.754,35.0,999
chicago-house,12.334,10.0,998
children,35.117,36.0,998
chill,53.705,57.0,999
classical,13.52,3.0,933
club,33.378,37.0,995
comedy,24.644,23.0,996
country,17.028,0.0,1000
dance,23.403,1.0,965
dancehall,33.472,31.0,999
death-metal,32.179,25.0,999
deep-house,44.789,51.0,998
detroit-techno,11.183,8.0,998
disco,33.522,32.0,1000
disney,27.526,23.0,999
drum-and-bass,26.631,19.0,996
dub,40.058,44.0,999
dubstep,42.317,44.0,999
edm,35.139,47.0,993
electro,36.146,50.5,998
electronic,44.325,48.0,1000
emo,48.128,51.0,1000
folk,38.044,41.0,999
forro,41.832,41.0,998
french,41.075,37.0,999
funk,32.322,43.0,1000
garage,40.933,35.0,1000
german,27.191,37.0,963
gospel,41.641,41.0,999
goth,28.917,24.0,999
grindcore,14.629,14.0,998
groove,37.833,39.5,998
grunge,49.583,55.0,999
guitar,29.529,26.0,999
happy,21.717,19.0,999
hard-rock,42.723,41.0,998
hardcore,36.111,32.0,999
hardstyle,26.603,23.0,998
heavy-metal,26.179,23.0,998
hip-hop,38.083,58.0,991
honky-tonk,16.411,13.0,981
house,34.189,42.0,999
idm,15.76,12.0,998
indian,49.529,49.0,999
indie,38.907,47.0,997
indie-pop,40.657,47.0,1000
industrial,31.041,24.0,1000
iranian,2.225,0.0,988
j-dance,26.694,22.0,993
j-idol,24.714,22.0,999
j-pop,41.224,41.0,998
j-rock,40.664,37.0,1000
jazz,13.587,0.0,999
k-pop,56.964,60.0,998
kids,14.94,12.0,991
latin,8.364,0.0,990
latino,25.827,2.0,993
malay,30.367,28.0,999
mandopop,45.025,49.0,1000
metal,43.678,57.0,998
metalcore,43.477,50.0,1000
minimal-techno,34.018,39.0,998
mpb,40.792,42.0,1000
new-age,29.061,24.0,994
opera,24.632,22.0,992
pagode,44.298,45.0,1000
party,21.033,25.0,994
piano,45.278,50.0,998
pop,47.903,66.0,993
pop-film,59.28,60.0,999
power-pop,26.924,23.0,996
progressive-house,46.662,52.0,999
psych-rock,42.899,51.0,996
punk,38.292,40.0,999
punk-rock,38.236,38.0,1000
r-n-b,36.687,42.0,1000
reggae,20.63,2.0,1000
reggaeton,23.858,2.0,1000
rock,19.001,0.0,1000
rock-n-roll,34.434,32.0,1000
rockabilly,31.503,28.0,999
romance,3.55,0.0,904
sad,52.379,54.0,1000
salsa,28.063,29.0,998
samba,38.826,39.0,1000
sertanejo,47.866,47.0,1000
show-tunes,31.257,25.0,999
singer-songwriter,37.813,43.0,1000
ska,35.126,36.0,1000
sleep,35.071,35.0,1000
songwriter,37.813,43.0,1000
soul,19.815,0.0,999
spanish,37.922,32.0,1000
study,26.128,28.0,998
swedish,37.175,38.0,1000
synth-pop,36.576,34.0,1000
tango,19.871,19.0,1000
techno,39.042,43.0,1000
trance,37.637,40.0,999
trip-hop,34.499,39.0,997
turkish,40.701,40.0,999
world-music,41.881,44.0,999
